relative_path,area,role,size_bytes,sha256_prechange,touched_by_p8,note
app.R,root,entrypoint,181,E04176A4E135CE58A60DC2B05F25B1C04929F1C49F7CD342E129000AC18263E9,FALSE,
global.R,root,startup sourcing,1514,F6323D5513004E0F4FD9CA869268DF6CAF070F37AB6435ABC150D6BFCB55BB12,TRUE,
modules\forecast_chart\forecast_chart_server.R,modules,,173,581A104865C480BC673667388D33C92F1001AAEFE2A1CEC103B9D7A9C1D2E9AC,FALSE,
modules\forecast_chart\forecast_chart_ui.R,modules,,180,B66314DA1DFFEE5F3710C19D72559250E259C883D509B8161E3E741CA6B9B5EB,FALSE,
modules\llm_summary\llm_summary_server.R,modules,,164,1D52230BF4E1A546BB1D0658F1B7C5239A683464304464DFA3BCF18DB2347EDD,FALSE,LLM/assistant component preserved
modules\llm_summary\llm_summary_ui.R,modules,,203,826F1CB0D54305430BFAAF3A88DF41257743B2AAC4AB590CAD9EF6D33C539731,FALSE,LLM/assistant component preserved
modules\metric_cards\metric_cards_server.R,modules,,167,8337A1227D70FF6E77C5570C53E2771648ABF27D7083CF331CBDF719874FEA9E,FALSE,
modules\metric_cards\metric_cards_ui.R,modules,,386,5DD82C05A3F0EE74726C5CD2FE75DCEA3C5D86B9CA37BF277A7FD84D66074AF4,FALSE,
modules\model_ranking\model_ranking_server.R,modules,,170,B9140B0F1303E471106172268D9838A8B7E55E5E2EC0959F62AA2FFCCDFDDC4F,FALSE,
modules\model_ranking\model_ranking_ui.R,modules,,146,B779F9307944A00B55ADC541F771BC353AFC01A888E77939B31E6EDBAFC13977,FALSE,
R\artifact_export.R,R,,14999,B1B7668B3A2DA06D3605FF3D2E0F0EA2564F3BFB193823C3E391190371A6DAD3,FALSE,
R\cards.R,R,,2368,05E9552338CA4C356DB4EEA688AA90ADE68E36134B56843B310A852800C11CF2,FALSE,
R\constants.R,R,,1095,91154E23F9CA7D36987C9EFC34C4A6F80FA8622AAC27DF8FD2603E88564FB775,FALSE,
R\data_loader.R,R,legacy governed artifact loader,22018,A1A39B3856D2F07887AFA24B388A333DA4C87F31A3D6B9DCAA4407175B185808,FALSE,
R\forecast_pilot.R,R,V6.17 read-only forecast provider,19842,9ED3A4E9F2EDF082558D35BDD2D53113DBE630C62D30CF7AD3DCB45457282C97,FALSE,
R\helpers.R,R,shared helpers,147153,36BD74FDDA5D5105DA52845C1D3B13C4700A3586172DEB514C2FA709092F95D5,FALSE,
R\libraries.R,R,,267,6BC245FE258D71E8B8EF933BA85D57E26E868111EC880361AB64B367A8FCCF53,FALSE,
R\llm_client.R,R,LLM client - must not break,340,9DD12BE73F938C43615BF711861498ECC67019D6876D5136C53807545FCEAF03,FALSE,LLM/assistant component preserved
R\llm_compose.R,R,LLM composition - must not break,12137,B462D2D9ACB6B56B5EB1EB74C0F4ECC4A08F4A44AEB0A1C5E93D0330E9EB9472,FALSE,LLM/assistant component preserved
R\llm_explain.R,R,LLM assistant - must not break,34525,762DE95FCA86B705A2361D5CDC2CA9B1588054EDDC045E98FD518E0F8AEFDF82,FALSE,LLM/assistant component preserved
