Key,Forecast_Version,avg_mape,avg_smape,avg_rmse,avg_accuracy,model_rank_mape,model_rank_accuracy
EURP190,2026-04-06 19:49:02,0.0277777777777777,0.0277777777777777,14.886666666666668,99.97222222222224,1,1
LAMPRD80,2026-04-16 07:50:38,0.045625,0.045625,28.28,99.954375,2,2
CHEP278,2026-04-06 19:49:02,0.0511111111111111,0.0511111111111111,20.017777777777777,99.94888888888887,3,3
EURP119,2026-04-16 07:50:38,0.055,0.055,0.834375,99.945,4,4
NAMPRD09,2026-04-06 19:49:02,0.0622222222222222,0.0622222222222222,150.33666666666667,99.93777777777778,5,5
EURP121,2026-04-06 19:49:02,0.0644444444444444,0.0644444444444444,0.5644444444444444,99.93555555555557,6,6
EURP119,2026-04-06 19:49:02,0.0733333333333333,0.0733333333333333,1.0677777777777775,99.92666666666668,7,7
EURP194,2026-04-06 19:49:02,0.0788888888888888,0.0788888888888888,35.16444444444445,99.9211111111111,8,8
LAM-Multitenant,2026-04-16,0.079375,0.079375,182.50125,99.920625,9,9
NAM-GCC Low,2026-03-07,0.0811111111111111,0.0811111111111111,182.24444444444444,99.91888888888889,10,10
NAMP164,2026-04-06 19:49:02,0.0811111111111111,0.0811111111111111,0.6211111111111111,99.91888888888889,10,10
NAMP105,2026-05-01 03:35:00,0.09,0.09,3.699375,99.91,11,11
NAMP172,2026-04-06 19:49:02,0.0933333333333333,0.0933333333333333,0.01,99.90666666666668,12,12
ZAF-Go Local,2026-03-07,0.0966666666666666,0.0966666666666666,66.76222222222222,99.90333333333334,13,13
APC-Multitenant,2026-05-01,0.099375,0.099375,702.19625,99.900625,14,14
NAMPRD10,2026-04-06 19:49:02,0.1,0.1,153.4388888888889,99.9,15,15
NAMPRD14,2026-04-06 19:49:02,0.1011111111111111,0.1011111111111111,132.89888888888888,99.89888888888888,16,16
NAM-GCC Low,2026-04-16,0.104375,0.104375,237.21125,99.895625,17,17
NAMPRD09,2026-04-16 07:50:38,0.104375,0.104375,237.2225,99.895625,17,17
NAMP161,2026-04-16 07:50:38,0.105,0.105,3.635625,99.895,18,18
EURP121,2026-04-16 07:50:38,0.110625,0.110625,1.03875,99.889375,19,19
INDPRD01,2026-04-06 19:49:02,0.1177777777777777,0.1177777777777777,306.47333333333336,99.88222222222224,20,20
EURP120,2026-05-01 03:35:00,0.1275,0.1278125,4.645,99.8725,21,21
NAMPRD11,2026-04-06 19:49:02,0.1311111111111111,0.1311111111111111,185.29333333333332,99.86888888888888,22,22
ISR-Go Local,2026-03-07,0.1344444444444444,0.1344444444444444,2.2022222222222223,99.86555555555556,23,23
APCPRD04,2026-04-06 19:49:02,0.14,0.14,200.21,99.86,24,24
CANPRD01,2026-05-01 03:35:00,0.145,0.1453125,255.433125,99.855,25,25
LAMP152,2026-04-16 07:50:38,0.1475,0.1475,185.1075,99.8525,26,26
NAMP157,2026-04-06 19:49:02,0.15,0.15,5.185555555555556,99.85,27,27
NAM-GCC Low,2026-05-01,0.1525,0.1525,346.1778125,99.8475,28,28
NAMPRD09,2026-05-01 03:35:00,0.1525,0.1525,346.1778125,99.8475,28,28
EURP193,2026-04-06 19:49:02,0.1566666666666666,0.1555555555555555,68.82333333333332,99.84333333333332,29,29
NAMP128,2026-04-06 19:49:02,0.1566666666666666,0.1566666666666666,0.3577777777777777,99.84333333333332,29,29
NAMP164,2026-04-16 07:50:38,0.15875,0.15875,1.14,99.84125,30,30
APC-Multitenant,2026-03-07,0.1611111111111111,0.1611111111111111,1042.4244444444444,99.83888888888887,31,31
LAMPRD80,2026-04-06 19:49:02,0.1644444444444444,0.1644444444444444,92.01333333333334,99.83555555555556,32,32
NAMP166,2026-04-16 07:50:38,0.1675,0.1675,1.783125,99.8325,33,33
FRAP264,2026-04-06 19:49:02,0.1711111111111111,0.1711111111111111,186.5288888888889,99.8288888888889,34,34
NAMP102,2026-04-06 19:49:02,0.1744444444444444,0.1744444444444444,0.0055555555555555,99.82555555555555,35,35
NAMP171,2026-04-06 19:49:02,0.1755555555555555,0.1755555555555555,0.9733333333333332,99.82444444444444,36,36
NAMP157,2026-05-01 03:35:00,0.17875,0.17875,6.1490625,99.82125,37,37
NAMPRD02,2026-04-06 19:49:02,0.1811111111111111,0.1811111111111111,270.43333333333334,99.81888888888888,38,38
NAMPRD17,2026-04-06 19:49:02,0.1833333333333333,0.1833333333333333,259.8622222222223,99.81666666666666,39,39
NAMP113,2026-04-16 07:50:38,0.186875,0.186875,4.626875,99.813125,40,40
NAMP125,2026-04-06 19:49:02,0.1911111111111111,0.1911111111111111,1.2033333333333334,99.80888888888887,41,41
NAMP126,2026-04-16 07:50:38,0.19625,0.19625,0.008125,99.80375,42,42
LAMP215,2026-04-06 19:49:02,0.1966666666666666,0.1977777777777777,56.74333333333333,99.80333333333334,43,43
NAMP105,2026-04-06 19:49:02,0.1977777777777777,0.1977777777777777,7.523333333333334,99.80222222222224,44,44
KORP216,2026-04-06 19:49:02,0.21,0.2088888888888889,51.806666666666665,99.79,45,45
NAMP128,2026-04-16 07:50:38,0.210625,0.210625,0.485625,99.789375,46,46
