field_name,data_type,required,description,example
run_id,string,True,Unique Model Lab run identifier.,
job_id,string,True,Unique planned job identifier.,
entity_key,string,True,Forecast entity for the job.,
model_name,string,True,Registered model name.,
window_id,integer,True,Walk-forward window identifier.,
artifact_type,string,True,One documented artifact type.,
artifact_path,string,True,Relative path to the produced artifact.,
status,string,True,Standard job status code.,
created_timestamp,datetime,True,Artifact creation timestamp.,
error_timestamp,datetime,False,Timestamp for a job error.,
error_type,string,False,Error class or category.,
error_message,string,False,Human-readable error message.,
stack_trace_available,boolean,False,Whether stack trace details exist.,
timestamp,datetime,False,Required logging timestamp field.,
message,string,False,Required logging message field.,
